Condition,HCUP_ORDER,GROUP_HCUP,DIAGNOSIS_CODE,SHORT_DESCRIPTION
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8352,Hypercalcemia
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8359,Other disorders of calcium metabolism
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8381,Hungry bone syndrome
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8389,Other disorders of mineral metabolism
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E839,"Disorder of mineral metabolism, unspecified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E850,Non-neuropathic heredofamilial amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E851,Neuropathic heredofamilial amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E852,"Heredofamilial amyloidosis, unspecified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E853,Secondary systemic amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E854,Organ-limited amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E858,Other amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8581,Light chain (AL) amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8582,Wild-type transthyretin-related (ATTR) amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8589,Other amyloidosis
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E859,"Amyloidosis, unspecified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8801,Alpha-1-antitrypsin deficiency
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8802,Plasminogen deficiency
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8809,"Oth disorders of plasma-protein metabolism, NEC"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E881,"Lipodystrophy, not elsewhere classified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E882,"Lipomatosis, not elsewhere classified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8840,"Mitochondrial metabolism disorder, unspecified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8841,MELAS syndrome
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8842,MERRF syndrome
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8849,Other mitochondrial metabolism disorders
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8881,Metabolic syndrome
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E8889,Other specified metabolic disorders
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,E889,"Metabolic disorder, unspecified"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R620,Delayed milestone in childhood
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R6250,Unsp lack of expected normal physiol dev in childhood
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R6251,Failure to thrive (child)
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R6252,Short stature (child)
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R6259,Oth lack of expected normal physiol development in childhood
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R627,Adult failure to thrive
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R630,Anorexia
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R631,Polydipsia
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R632,Polyphagia
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R633,Feeding difficulties
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R634,Abnormal weight loss
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R635,Abnormal weight gain
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R636,Underweight
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,R638,Other symptoms and signs concerning food and fluid intake
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z681,"Body mass index (BMI) 19.9 or less, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6825,"Body mass index (BMI) 25.0-25.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6826,"Body mass index (BMI) 26.0-26.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6827,"Body mass index (BMI) 27.0-27.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6828,"Body mass index (BMI) 28.0-28.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6829,"Body mass index (BMI) 29.0-29.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6830,"Body mass index (BMI) 30.0-30.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6831,"Body mass index (BMI) 31.0-31.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6832,"Body mass index (BMI) 32.0-32.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6833,"Body mass index (BMI) 33.0-33.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6834,"Body mass index (BMI) 34.0-34.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6835,"Body mass index (BMI) 35.0-35.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6836,"Body mass index (BMI) 36.0-36.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6837,"Body mass index (BMI) 37.0-37.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6838,"Body mass index (BMI) 38.0-38.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6839,"Body mass index (BMI) 39.0-39.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6841,"Body mass index (BMI) 40.0-44.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6842,"Body mass index (BMI) 45.0-49.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6843,"Body mass index (BMI) 50-59.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6844,"Body mass index (BMI) 60.0-69.9, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6845,"Body mass index (BMI) 70 or greater, adult"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6851,"BMI pediatric, less than 5th percentile for age"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6853,"BMI pediatric, 85% to less than 95th percentile for age"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z6854,"BMI pediatric, greater than or equal to 95% for age"
OBESITY,58,Other nutritional; endocrine; and metabolic disorders,Z8639,"Personal history of endo, nutritional and metabolic disease"
AF,95,Cardiac dysrhythmias,I470,Re-entry ventricular arrhythmia
AF,95,Cardiac dysrhythmias,I471,Supraventricular tachycardia
AF,95,Cardiac dysrhythmias,I472,Ventricular tachycardia
AF,95,Cardiac dysrhythmias,I479,"Paroxysmal tachycardia, unspecified"
AF,95,Cardiac dysrhythmias,I480,Paroxysmal atrial fibrillation
AF,95,Cardiac dysrhythmias,I481,Persistent atrial fibrillation
AF,95,Cardiac dysrhythmias,I482,Chronic atrial fibrillation
AF,95,Cardiac dysrhythmias,I483,Typical atrial flutter
AF,95,Cardiac dysrhythmias,I484,Atypical atrial flutter
AF,95,Cardiac dysrhythmias,I4891,Unspecified atrial fibrillation
AF,95,Cardiac dysrhythmias,I4892,Unspecified atrial flutter
AF,95,Cardiac dysrhythmias,I491,Atrial premature depolarization
AF,95,Cardiac dysrhythmias,I492,Junctional premature depolarization
AF,95,Cardiac dysrhythmias,I493,Ventricular premature depolarization
AF,95,Cardiac dysrhythmias,I4940,Unspecified premature depolarization
AF,95,Cardiac dysrhythmias,I4949,Other premature depolarization
AF,95,Cardiac dysrhythmias,I495,Sick sinus syndrome
AF,95,Cardiac dysrhythmias,I498,Other specified cardiac arrhythmias
AF,95,Cardiac dysrhythmias,I499,"Cardiac arrhythmia, unspecified"
AF,95,Cardiac dysrhythmias,R000,"Tachycardia, unspecified"
AF,95,Cardiac dysrhythmias,R001,"Bradycardia, unspecified"
AF,95,Cardiac dysrhythmias,R002,Palpitations
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I470,Re-entry ventricular arrhythmia
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I471,Supraventricular tachycardia
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I472,Ventricular tachycardia
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I479,"Paroxysmal tachycardia, unspecified"
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I480,Paroxysmal atrial fibrillation
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I481,Persistent atrial fibrillation
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I482,Chronic atrial fibrillation
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I483,Typical atrial flutter
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I484,Atypical atrial flutter
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I4891,Unspecified atrial fibrillation
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I4892,Unspecified atrial flutter
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I491,Atrial premature depolarization
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I492,Junctional premature depolarization
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I493,Ventricular premature depolarization
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I4940,Unspecified premature depolarization
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I4949,Other premature depolarization
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I495,Sick sinus syndrome
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I498,Other specified cardiac arrhythmias
ANYHEARTDISEASE,95,Cardiac dysrhythmias,I499,"Cardiac arrhythmia, unspecified"
ANYHEARTDISEASE,95,Cardiac dysrhythmias,R000,"Tachycardia, unspecified"
ANYHEARTDISEASE,95,Cardiac dysrhythmias,R001,"Bradycardia, unspecified"
ANYHEARTDISEASE,95,Cardiac dysrhythmias,R002,Palpitations
HIV,5,HIV infection,B20,Human immunodeficiency virus [HIV] disease
HIV,5,HIV infection,B9735,HIV 2 as the cause of diseases classified elsewhere
HIV,5,HIV infection,R75,Inconclusive laboratory evidence of human immunodef virus
HIV,5,HIV infection,Z21,Asymptomatic human immunodeficiency virus infection status
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I200,Unstable angina
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I201,Angina pectoris with documented spasm
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I208,Other forms of angina pectoris
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I209,"Angina pectoris, unspecified"
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I237,Postinfarction angina
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I240,Acute coronary thrombosis not resulting in myocardial infrc
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I241,Dressler's syndrome
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I248,Other forms of acute ischemic heart disease
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I249,"Acute ischemic heart disease, unspecified"
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I2510,Athscl heart disease of native coronary artery w/o ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25110,Athscl heart disease of native cor art w unstable ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25111,Athscl heart disease of native cor art w ang pctrs w spasm
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25118,Athscl heart disease of native cor art w oth ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25119,Athscl heart disease of native cor art w unsp ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I252,Old myocardial infarction
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I255,Ischemic cardiomyopathy
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I256,Silent myocardial ischemia
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25750,Athscl native cor art of txplt heart w unstable angina
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25751,Athscl native cor art of txplt heart w ang pctrs w spasm
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25758,Athscl native cor art of transplanted heart w oth ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25759,Athscl native cor art of transplanted heart w unsp ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I25811,Athscl native cor art of transplanted heart w/o ang pctrs
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I2582,Chronic total occlusion of coronary artery
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I2583,Coronary atherosclerosis due to lipid rich plaque
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I2584,Coronary atherosclerosis due to calcified coronary lesion
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I2589,Other forms of chronic ischemic heart disease
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,I259,"Chronic ischemic heart disease, unspecified"
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,Z951,Presence of aortocoronary bypass graft
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,Z955,Presence of coronary angioplasty implant and graft
ANYHEARTDISEASE,90,Coronary atherosclerosis and other heart disease,Z9861,Coronary angioplasty status
ANYHEARTDISEASE,92,Pulmonary heart disease,I2601,Septic pulmonary embolism with acute cor pulmonale
ANYHEARTDISEASE,92,Pulmonary heart disease,I2602,Saddle embolus of pulmonary artery with acute cor pulmonale
ANYHEARTDISEASE,92,Pulmonary heart disease,I2609,Other pulmonary embolism with acute cor pulmonale
ANYHEARTDISEASE,92,Pulmonary heart disease,I2690,Septic pulmonary embolism without acute cor pulmonale
ANYHEARTDISEASE,92,Pulmonary heart disease,I2692,Saddle embolus of pulmonary artery w/o acute cor pulmonale
ANYHEARTDISEASE,92,Pulmonary heart disease,I2699,Other pulmonary embolism without acute cor pulmonale
ANYHEARTDISEASE,92,Pulmonary heart disease,I270,Primary pulmonary hypertension
ANYHEARTDISEASE,92,Pulmonary heart disease,I271,Kyphoscoliotic heart disease
ANYHEARTDISEASE,92,Pulmonary heart disease,I272,Other secondary pulmonary hypertension
ANYHEARTDISEASE,92,Pulmonary heart disease,I2720,"Pulmonary hypertension, unspecified"
ANYHEARTDISEASE,92,Pulmonary heart disease,I2721,Secondary pulmonary arterial hypertension
ANYHEARTDISEASE,92,Pulmonary heart disease,I2722,Pulmonary hypertension due to left heart disease
ANYHEARTDISEASE,92,Pulmonary heart disease,I2723,Pulmonary hypertension due to lung diseases and hypoxia
ANYHEARTDISEASE,92,Pulmonary heart disease,I2724,Chronic thromboembolic pulmonary hypertension
ANYHEARTDISEASE,92,Pulmonary heart disease,I2729,Other secondary pulmonary hypertension
ANYHEARTDISEASE,92,Pulmonary heart disease,I2781,Cor pulmonale (chronic)
ANYHEARTDISEASE,92,Pulmonary heart disease,I2782,Chronic pulmonary embolism
ANYHEARTDISEASE,92,Pulmonary heart disease,I2783,Eisenmenger's syndrome
ANYHEARTDISEASE,92,Pulmonary heart disease,I2789,Other specified pulmonary heart diseases
ANYHEARTDISEASE,92,Pulmonary heart disease,I279,"Pulmonary heart disease, unspecified"
ANYHEARTDISEASE,92,Pulmonary heart disease,I280,Arteriovenous fistula of pulmonary vessels
ANYHEARTDISEASE,92,Pulmonary heart disease,I281,Aneurysm of pulmonary artery
ANYHEARTDISEASE,92,Pulmonary heart disease,I288,Other diseases of pulmonary vessels
ANYHEARTDISEASE,92,Pulmonary heart disease,I289,"Disease of pulmonary vessels, unspecified"
ANYHEARTDISEASE,92,Pulmonary heart disease,Z86711,Personal history of pulmonary embolism
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I231,Atrial septal defect as current complication following AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I232,Ventricular septal defect as current comp following AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I233,Rupture of card wall w/o hemoperic as current comp fol AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I234,Rupture of chord tendne as current comp following AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I235,Rupture of papillary muscle as current comp following AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I236,Thombos of atrium/auric append/ventr as current comp fol AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I238,Oth current complications following AMI
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I253,Aneurysm of heart
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I2541,Coronary artery aneurysm
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I2542,Coronary artery dissection
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I510,"Cardiac septal defect, acquired"
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I511,"Rupture of chordae tendineae, not elsewhere classified"
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I512,"Rupture of papillary muscle, not elsewhere classified"
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I513,"Intracardiac thrombosis, not elsewhere classified"
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I515,Myocardial degeneration
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I517,Cardiomegaly
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I5181,Takotsubo syndrome
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I5189,Other ill-defined heart diseases
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I519,"Heart disease, unspecified"
ANYHEARTDISEASE,93,Other and ill-defined heart disease,I52,Other heart disorders in diseases classified elsewhere
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M300,Polyarteritis nodosa
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M301,Polyarteritis with lung involvement [Churg-Strauss]
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M302,Juvenile polyarteritis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M303,Mucocutaneous lymph node syndrome [Kawasaki]
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M308,Other conditions related to polyarteritis nodosa
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M311,Thrombotic microangiopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M312,Lethal midline granuloma
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3130,Wegener's granulomatosis without renal involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3131,Wegener's granulomatosis with renal involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M314,Aortic arch syndrome [Takayasu]
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M315,Giant cell arteritis with polymyalgia rheumatica
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M316,Other giant cell arteritis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M317,Microscopic polyangiitis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M318,Other specified necrotizing vasculopathies
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M319,"Necrotizing vasculopathy, unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M320,Drug-induced systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3210,"Systemic lupus erythematosus, organ or system involv unsp"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3211,Endocarditis in systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3212,Pericarditis in systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3213,Lung involvement in systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3214,Glomerular disease in systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3215,Tubulo-interstitial neuropath in sys lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3219,Oth organ or system involv in systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M328,Other forms of systemic lupus erythematosus
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M329,"Systemic lupus erythematosus, unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3300,"Juvenile dermatomyositis, organ involvement unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3301,Juvenile dermatomyositis with respiratory involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3302,Juvenile dermatomyositis with myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3303,Juvenile dermatomyositis without myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3309,Juvenile dermatomyositis with other organ involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3310,"Other dermatomyositis, organ involvement unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3311,Other dermatomyositis with respiratory involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3312,Other dermatomyositis with myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3313,Other dermatomyositis without myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3319,Other dermatomyositis with other organ involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3320,"Polymyositis, organ involvement unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3321,Polymyositis with respiratory involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3322,Polymyositis with myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3329,Polymyositis with other organ involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3390,"Dermatopolymyositis, unsp, organ involvement unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3391,"Dermatopolymyositis, unsp with respiratory involvement"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3392,"Dermatopolymyositis, unspecified with myopathy"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3393,"Dermatopolymyositis, unspecified without myopathy"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3399,"Dermatopolymyositis, unsp with other organ involvement"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M340,Progressive systemic sclerosis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M341,CR(E)ST syndrome
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M342,Systemic sclerosis induced by drug and chemical
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3481,Systemic sclerosis with lung involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3482,Systemic sclerosis with myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3483,Systemic sclerosis with polyneuropathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3489,Other systemic sclerosis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M349,"Systemic sclerosis, unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3500,"Sicca syndrome, unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3501,Sicca syndrome with keratoconjunctivitis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3502,Sicca syndrome with lung involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3503,Sicca syndrome with myopathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3504,Sicca syndrome with tubulo-interstitial nephropathy
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M3509,Sicca syndrome with other organ involvement
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M351,Other overlap syndromes
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M355,Multifocal fibrosclerosis
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M359,"Systemic involvement of connective tissue, unspecified"
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M360,Dermato(poly)myositis in neoplastic disease
CONECTIVEDISEASE,198,Systemic lupus erythematosus and connective tissue disorders,M368,Systemic disord of conn tiss in oth diseases classd elswhr
CONECTIVEDISEASE,199,Other connective tissue disease,G4762,Sleep related leg cramps
CONECTIVEDISEASE,199,Other connective tissue disease,K6812,Psoas muscle abscess
CONECTIVEDISEASE,199,Other connective tissue disease,M2420,"Disorder of ligament, unspecified site"
CONECTIVEDISEASE,199,Other connective tissue disease,M24211,"Disorder of ligament, right shoulder"
CONECTIVEDISEASE,199,Other connective tissue disease,M24212,"Disorder of ligament, left shoulder"
CONECTIVEDISEASE,199,Other connective tissue disease,M24219,"Disorder of ligament, unspecified shoulder"
CONECTIVEDISEASE,199,Other connective tissue disease,M24221,"Disorder of ligament, right elbow"
CONECTIVEDISEASE,199,Other connective tissue disease,M24222,"Disorder of ligament, left elbow"
CONECTIVEDISEASE,199,Other connective tissue disease,M24229,"Disorder of ligament, unspecified elbow"
CONECTIVEDISEASE,199,Other connective tissue disease,M24231,"Disorder of ligament, right wrist"
CONECTIVEDISEASE,199,Other connective tissue disease,M24232,"Disorder of ligament, left wrist"
CONECTIVEDISEASE,199,Other connective tissue disease,M24239,"Disorder of ligament, unspecified wrist"
CONECTIVEDISEASE,199,Other connective tissue disease,M24241,"Disorder of ligament, right hand"
CONECTIVEDISEASE,199,Other connective tissue disease,M24242,"Disorder of ligament, left hand"
CONECTIVEDISEASE,199,Other connective tissue disease,M24249,"Disorder of ligament, unspecified hand"
CONECTIVEDISEASE,199,Other connective tissue disease,M24251,"Disorder of ligament, right hip"
CONECTIVEDISEASE,199,Other connective tissue disease,M24252,"Disorder of ligament, left hip"
CONECTIVEDISEASE,199,Other connective tissue disease,M24259,"Disorder of ligament, unspecified hip"
CONECTIVEDISEASE,199,Other connective tissue disease,M24271,"Disorder of ligament, right ankle"
CONECTIVEDISEASE,199,Other connective tissue disease,M24272,"Disorder of ligament, left ankle"
CONECTIVEDISEASE,199,Other connective tissue disease,M24273,"Disorder of ligament, unspecified ankle"
CONECTIVEDISEASE,199,Other connective tissue disease,M24274,"Disorder of ligament, right foot"
CONECTIVEDISEASE,199,Other connective tissue disease,M24275,"Disorder of ligament, left foot"
CONECTIVEDISEASE,199,Other connective tissue disease,M24276,"Disorder of ligament, unspecified foot"
CONECTIVEDISEASE,199,Other connective tissue disease,M2428,"Disorder of ligament, vertebrae"
CONECTIVEDISEASE,199,Other connective tissue disease,M352,Behcet's disease
CONECTIVEDISEASE,199,Other connective tissue disease,M353,Polymyalgia rheumatica
