DIAGNOSIS_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION,GROUP1,GROUP2,GROUP3,GROUP_HCUP_ID,GROUP_HCUP,HCUP_ORDER
79981,Decreased libido,Decreased libido,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS",ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,OTHER ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,259,Residual codes; unclassified,247
79982,Apparent life threatening event in infant,Appar life threat-infant,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS",ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,OTHER ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,259,Residual codes; unclassified,247
79989,Other ill-defined conditions,Ill-define condition NEC,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS",ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,OTHER ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,259,Residual codes; unclassified,247
7999,Other unknown and unspecified cause of morbidity and mortality,Unkn cause morb/mort NEC,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS",ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,OTHER ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY,259,Residual codes; unclassified,247
80000,"Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness",Closed skull vault fx,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80001,"Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",Cl skull vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80002,"Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness",Cl skull vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80003,"Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",Cl skull vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80004,"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl vlt fx-proln coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80005,"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skul vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80006,"Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration",Cl skull vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80009,"Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified",Cl skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80010,"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",Cl skl vlt fx/cerebr lac,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80011,"Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness",Cl skull vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80012,"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",Cl skull vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80013,"Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",Cl skull vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80014,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl vlt fx-proln coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80015,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skul vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80016,"Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",Cl skull vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80019,"Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified",Cl skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80020,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",Cl skl vlt fx/mening hem,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80021,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",Cl skull vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80022,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",Cl skull vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80023,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",Cl skull vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80024,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl vlt fx-proln coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80025,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skul vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80026,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",Cl skull vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80029,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",Cl skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80030,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",Cl skull vlt fx/hem NEC,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80031,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness",Cl skull vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80032,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",Cl skull vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80033,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness",Cl skull vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80034,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl vlt fx-proln coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80035,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skul vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80036,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration",Cl skull vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80039,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",Cl skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80040,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness",Cl skl vlt fx/br inj NEC,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80041,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness",Cl skull vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80042,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness",Cl skull vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80043,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness",Cl skull vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80044,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl vlt fx-proln coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80045,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skul vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80046,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration",Cl skull vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80049,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified",Cl skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80050,"Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness",Opn skull vault fracture,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80051,"Open fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",Opn skul vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80052,"Open fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness",Opn skul vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80053,"Open fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",Opn skul vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80054,"Open fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn skl vlt fx-proln com,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80055,"Open fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Opn skl vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80056,"Open fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration",Opn skul vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80059,"Open fracture of vault of skull without mention of intracranial injury, with concussion, unspecified",Op skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,228,Skull and face fractures,216
80060,"Open fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",Opn skl vlt fx/cereb lac,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80061,"Open fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness",Opn skul vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80062,"Open fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",Opn skul vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80063,"Open fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",Opn skul vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80064,"Open fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn skl vlt fx-proln com,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80065,"Open fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Opn skl vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80066,"Open fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",Opn skul vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80069,"Open fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified",Op skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80070,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",Opn skl vlt fx/menin hem,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80071,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",Opn skul vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80072,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",Opn skul vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80073,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",Opn skul vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80074,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn skl vlt fx-proln com,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80075,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Opn skl vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80076,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",Opn skul vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80079,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",Op skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80080,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",Opn skull vlt fx/hem NEC,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80081,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness",Opn skul vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80082,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",Opn skul vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80083,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness",Opn skul vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80084,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn skl vlt fx-proln com,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80085,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Opn skl vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80086,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration",Opn skul vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80089,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",Op skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80090,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness",Op skl vlt fx/br inj NEC,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80091,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness",Opn skul vlt fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80092,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness",Opn skul vlt fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80093,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness",Opn skul vlt fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80094,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn skl vlt fx-proln com,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80095,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Op skul vlt fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80096,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration",Opn skul vlt fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80099,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified",Op skl vlt fx-concus NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF VAULT OF SKULL,233,Intracranial injury,221
80100,"Closed fracture of base of skull without mention of intra cranial injury, unspecified state of consciousness",Clos skull base fracture,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80101,"Closed fracture of base of skull without mention of intra cranial injury, with no loss of consciousness",Cl skul base fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80102,"Closed fracture of base of skull without mention of intra cranial injury, with brief [less than one hour] loss of consciousness",Cl skul base fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80103,"Closed fracture of base of skull without mention of intra cranial injury, with moderate [1-24 hours] loss of consciousness",Cl skul base fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80104,"Closed fracture of base of skull without mention of intra cranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl base fx-prol coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80105,"Closed fracture of base of skull without mention of intra cranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skl base fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80106,"Closed fracture of base of skull without mention of intra cranial injury, with loss of consciousness of unspecified duration",Cl skul base fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80109,"Closed fracture of base of skull without mention of intra cranial injury, with concussion, unspecified",Cl skull base fx-concuss,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,228,Skull and face fractures,216
80110,"Closed fracture of base of skull with cerebral laceration and contusion, unspecified state of consciousness",Cl skl base fx/cereb lac,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80111,"Closed fracture of base of skull with cerebral laceration and contusion, with no loss of consciousness",Cl skul base fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80112,"Closed fracture of base of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",Cl skul base fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80113,"Closed fracture of base of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",Cl skul base fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80114,"Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl base fx-prol coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80115,"Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skl base fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80116,"Closed fracture of base of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",Cl skul base fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80119,"Closed fracture of base of skull with cerebral laceration and contusion, with concussion, unspecified",Cl skull base fx-concuss,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80120,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",Cl skl base fx/menin hem,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80121,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",Cl skul base fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80122,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",Cl skul base fx/brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80123,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",Cl skul base fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80124,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl base fx-prol coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80125,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Cl skl base fx-deep coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80126,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",Cl skul base fx-coma NOS,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80129,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",Cl skull base fx-concuss,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80130,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",Cl skull base fx/hem NEC,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80131,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness",Cl skul base fx w/o coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80132,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",Cl skul base fx-brf coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80133,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness",Cl skul base fx-mod coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
80134,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cl skl base fx-prol coma,INJURY AND POISONING,FRACTURE OF SKULL,FRACTURE OF BASE OF SKULL,233,Intracranial injury,221
